

============================== EXP at 2025-05-23 09:55:40 ==============================
dev | avg_loss: 2.7998046875 | {'exact_match': 1.8, 'rougeL': 20.4254}
train | epoch   0 | Iter:      4/   712 | global iter:      4/   712 | loss: 3.7388 | ds_loss: 4.0782 | lr: 9.9992e-05 | scale:  2048.0000 | micro time: 0.344 | step time: 0.390
train | epoch   0 | Iter:     48/   712 | global iter:     48/   712 | loss: 3.4799 | ds_loss: 3.7894 | lr: 9.8884e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     52/   712 | global iter:     52/   712 | loss: 3.5397 | ds_loss: 3.8591 | lr: 9.8691e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.349
train | epoch   0 | Iter:     56/   712 | global iter:     56/   712 | loss: 3.4113 | ds_loss: 3.7222 | lr: 9.8483e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.350
train | epoch   0 | Iter:     60/   712 | global iter:     60/   712 | loss: 3.7347 | ds_loss: 4.0670 | lr: 9.8260e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     64/   712 | global iter:     64/   712 | loss: 3.5812 | ds_loss: 3.9062 | lr: 9.8022e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     68/   712 | global iter:     68/   712 | loss: 3.4651 | ds_loss: 3.7762 | lr: 9.7768e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:     72/   712 | global iter:     72/   712 | loss: 3.4891 | ds_loss: 3.8008 | lr: 9.7500e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   0 | Iter:     76/   712 | global iter:     76/   712 | loss: 3.3961 | ds_loss: 3.7032 | lr: 9.7218e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   0 | Iter:     80/   712 | global iter:     80/   712 | loss: 3.4406 | ds_loss: 3.7519 | lr: 9.6920e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     84/   712 | global iter:     84/   712 | loss: 3.4842 | ds_loss: 3.7952 | lr: 9.6608e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:     88/   712 | global iter:     88/   712 | loss: 3.5762 | ds_loss: 3.8926 | lr: 9.6282e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
dev | avg_loss: 2.779296875 | {'exact_match': 2.6, 'rougeL': 22.6627}
train | epoch   1 | Iter:     92/   712 | global iter:     92/   712 | loss: 3.1854 | ds_loss: 3.4788 | lr: 9.5941e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.295
train | epoch   1 | Iter:     96/   712 | global iter:     96/   712 | loss: 3.3393 | ds_loss: 3.6441 | lr: 9.5585e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.357
train | epoch   1 | Iter:    100/   712 | global iter:    100/   712 | loss: 3.3471 | ds_loss: 3.6474 | lr: 9.5216e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    104/   712 | global iter:    104/   712 | loss: 3.2556 | ds_loss: 3.5525 | lr: 9.4833e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.350
train | epoch   1 | Iter:    108/   712 | global iter:    108/   712 | loss: 3.3029 | ds_loss: 3.6021 | lr: 9.4435e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.350
train | epoch   1 | Iter:    112/   712 | global iter:    112/   712 | loss: 3.3599 | ds_loss: 3.6620 | lr: 9.4024e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.350
train | epoch   1 | Iter:    116/   712 | global iter:    116/   712 | loss: 3.1888 | ds_loss: 3.4814 | lr: 9.3599e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    120/   712 | global iter:    120/   712 | loss: 3.0519 | ds_loss: 3.3281 | lr: 9.3160e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    124/   712 | global iter:    124/   712 | loss: 3.4627 | ds_loss: 3.7750 | lr: 9.2708e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   1 | Iter:    128/   712 | global iter:    128/   712 | loss: 3.1862 | ds_loss: 3.4767 | lr: 9.2243e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.348
train | epoch   1 | Iter:    132/   712 | global iter:    132/   712 | loss: 3.0326 | ds_loss: 3.3103 | lr: 9.1765e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    136/   712 | global iter:    136/   712 | loss: 3.4533 | ds_loss: 3.7620 | lr: 9.1273e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    140/   712 | global iter:    140/   712 | loss: 3.2324 | ds_loss: 3.5277 | lr: 9.0769e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   1 | Iter:    144/   712 | global iter:    144/   712 | loss: 3.4939 | ds_loss: 3.8114 | lr: 9.0252e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    148/   712 | global iter:    148/   712 | loss: 3.2527 | ds_loss: 3.5455 | lr: 8.9723e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    152/   712 | global iter:    152/   712 | loss: 3.1934 | ds_loss: 3.4815 | lr: 8.9181e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    156/   712 | global iter:    156/   712 | loss: 3.2730 | ds_loss: 3.5731 | lr: 8.8627e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    160/   712 | global iter:    160/   712 | loss: 3.2056 | ds_loss: 3.4961 | lr: 8.8061e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    164/   712 | global iter:    164/   712 | loss: 3.3127 | ds_loss: 3.6089 | lr: 8.7483e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.349
train | epoch   1 | Iter:    168/   712 | global iter:    168/   712 | loss: 3.0062 | ds_loss: 3.2797 | lr: 8.6894e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    172/   712 | global iter:    172/   712 | loss: 2.8886 | ds_loss: 3.1532 | lr: 8.6293e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    176/   712 | global iter:    176/   712 | loss: 3.3148 | ds_loss: 3.6117 | lr: 8.5680e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
dev | avg_loss: 2.8583984375 | {'exact_match': 2.8, 'rougeL': 23.407}
train | epoch   1 | Iter:    180/   712 | global iter:    180/   712 | loss: 2.9655 | ds_loss: 3.2359 | lr: 8.5057e-05 | scale:  2048.0000 | micro time: 0.124 | step time: 0.292
train | epoch   2 | Iter:    184/   712 | global iter:    184/   712 | loss: 3.1370 | ds_loss: 3.4259 | lr: 8.4423e-05 | scale:  2048.0000 | micro time: 0.354 | step time: 0.350
train | epoch   2 | Iter:    188/   712 | global iter:    188/   712 | loss: 3.0438 | ds_loss: 3.3190 | lr: 8.3778e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    192/   712 | global iter:    192/   712 | loss: 2.9568 | ds_loss: 3.2270 | lr: 8.3122e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   2 | Iter:    196/   712 | global iter:    196/   712 | loss: 2.9660 | ds_loss: 3.2419 | lr: 8.2456e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    200/   712 | global iter:    200/   712 | loss: 2.9910 | ds_loss: 3.2614 | lr: 8.1781e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    204/   712 | global iter:    204/   712 | loss: 2.8567 | ds_loss: 3.1157 | lr: 8.1095e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   2 | Iter:    208/   712 | global iter:    208/   712 | loss: 3.0206 | ds_loss: 3.2974 | lr: 8.0399e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    212/   712 | global iter:    212/   712 | loss: 2.9049 | ds_loss: 3.1749 | lr: 7.9694e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    216/   712 | global iter:    216/   712 | loss: 2.9612 | ds_loss: 3.2290 | lr: 7.8980e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.348
train | epoch   2 | Iter:    220/   712 | global iter:    220/   712 | loss: 3.1391 | ds_loss: 3.4235 | lr: 7.8257e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    224/   712 | global iter:    224/   712 | loss: 3.0201 | ds_loss: 3.2987 | lr: 7.7525e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    228/   712 | global iter:    228/   712 | loss: 3.0288 | ds_loss: 3.3049 | lr: 7.6785e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    232/   712 | global iter:    232/   712 | loss: 3.0235 | ds_loss: 3.2980 | lr: 7.6036e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    236/   712 | global iter:    236/   712 | loss: 3.1950 | ds_loss: 3.4828 | lr: 7.5279e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    240/   712 | global iter:    240/   712 | loss: 3.0181 | ds_loss: 3.2923 | lr: 7.4514e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    244/   712 | global iter:    244/   712 | loss: 2.9157 | ds_loss: 3.1852 | lr: 7.3742e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    248/   712 | global iter:    248/   712 | loss: 3.2580 | ds_loss: 3.5556 | lr: 7.2962e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    252/   712 | global iter:    252/   712 | loss: 2.9848 | ds_loss: 3.2551 | lr: 7.2175e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    256/   712 | global iter:    256/   712 | loss: 3.2105 | ds_loss: 3.4999 | lr: 7.1381e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    260/   712 | global iter:    260/   712 | loss: 3.0128 | ds_loss: 3.2915 | lr: 7.0581e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   2 | Iter:    264/   712 | global iter:    264/   712 | loss: 3.1633 | ds_loss: 3.4512 | lr: 6.9774e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
dev | avg_loss: 2.931640625 | {'exact_match': 2.8, 'rougeL': 23.6859}
train | epoch   2 | Iter:    268/   712 | global iter:    268/   712 | loss: 2.8739 | ds_loss: 3.1353 | lr: 6.8961e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.348
train | epoch   3 | Iter:    272/   712 | global iter:    272/   712 | loss: 2.8212 | ds_loss: 3.0830 | lr: 6.8142e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.292
train | epoch   3 | Iter:    276/   712 | global iter:    276/   712 | loss: 2.8540 | ds_loss: 3.1210 | lr: 6.7318e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    280/   712 | global iter:    280/   712 | loss: 3.0848 | ds_loss: 3.3664 | lr: 6.6488e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   3 | Iter:    284/   712 | global iter:    284/   712 | loss: 2.8444 | ds_loss: 3.1059 | lr: 6.5653e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    288/   712 | global iter:    288/   712 | loss: 2.8632 | ds_loss: 3.1282 | lr: 6.4813e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   3 | Iter:    292/   712 | global iter:    292/   712 | loss: 2.6291 | ds_loss: 2.8697 | lr: 6.3969e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   3 | Iter:    296/   712 | global iter:    296/   712 | loss: 2.8689 | ds_loss: 3.1305 | lr: 6.3120e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   3 | Iter:    300/   712 | global iter:    300/   712 | loss: 2.8147 | ds_loss: 3.0739 | lr: 6.2267e-05 | scale:  2048.0000 | micro time: 0.355 | step time: 0.350
train | epoch   3 | Iter:    304/   712 | global iter:    304/   712 | loss: 2.8588 | ds_loss: 3.1246 | lr: 6.1410e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    308/   712 | global iter:    308/   712 | loss: 2.8045 | ds_loss: 3.0609 | lr: 6.0550e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   3 | Iter:    312/   712 | global iter:    312/   712 | loss: 2.8736 | ds_loss: 3.1350 | lr: 5.9687e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   3 | Iter:    316/   712 | global iter:    316/   712 | loss: 2.9654 | ds_loss: 3.2372 | lr: 5.8820e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    320/   712 | global iter:    320/   712 | loss: 2.9689 | ds_loss: 3.2435 | lr: 5.7951e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    324/   712 | global iter:    324/   712 | loss: 2.8144 | ds_loss: 3.0734 | lr: 5.7079e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   3 | Iter:    328/   712 | global iter:    328/   712 | loss: 2.9033 | ds_loss: 3.1671 | lr: 5.6205e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   3 | Iter:    332/   712 | global iter:    332/   712 | loss: 2.6204 | ds_loss: 2.8595 | lr: 5.5330e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    336/   712 | global iter:    336/   712 | loss: 2.8669 | ds_loss: 3.1318 | lr: 5.4452e-05 | scale:  2048.0000 | micro time: 0.357 | step time: 0.352
train | epoch   3 | Iter:    340/   712 | global iter:    340/   712 | loss: 2.6621 | ds_loss: 2.9069 | lr: 5.3573e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    344/   712 | global iter:    344/   712 | loss: 2.8546 | ds_loss: 3.1133 | lr: 5.2694e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   3 | Iter:    348/   712 | global iter:    348/   712 | loss: 2.9132 | ds_loss: 3.1807 | lr: 5.1813e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   3 | Iter:    352/   712 | global iter:    352/   712 | loss: 3.0419 | ds_loss: 3.3210 | lr: 5.0932e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   3 | Iter:    356/   712 | global iter:    356/   712 | loss: 2.7719 | ds_loss: 3.0256 | lr: 5.0050e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
dev | avg_loss: 2.9755859375 | {'exact_match': 2.4, 'rougeL': 24.0805}
train | epoch   3 | Iter:    360/   712 | global iter:    360/   712 | loss: 2.5783 | ds_loss: 2.8165 | lr: 4.9168e-05 | scale:  2048.0000 | micro time: 0.124 | step time: 0.291
train | epoch   4 | Iter:    364/   712 | global iter:    364/   712 | loss: 2.6956 | ds_loss: 2.9456 | lr: 4.8287e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.350
train | epoch   4 | Iter:    368/   712 | global iter:    368/   712 | loss: 2.8336 | ds_loss: 3.0959 | lr: 4.7406e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   4 | Iter:    372/   712 | global iter:    372/   712 | loss: 2.8396 | ds_loss: 3.1014 | lr: 4.6527e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   4 | Iter:    376/   712 | global iter:    376/   712 | loss: 2.6739 | ds_loss: 2.9213 | lr: 4.5648e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   4 | Iter:    380/   712 | global iter:    380/   712 | loss: 2.6139 | ds_loss: 2.8576 | lr: 4.4770e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   4 | Iter:    384/   712 | global iter:    384/   712 | loss: 2.6765 | ds_loss: 2.9225 | lr: 4.3895e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   4 | Iter:    388/   712 | global iter:    388/   712 | loss: 2.9251 | ds_loss: 3.1933 | lr: 4.3021e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   4 | Iter:    392/   712 | global iter:    392/   712 | loss: 2.5890 | ds_loss: 2.8285 | lr: 4.2149e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.350
train | epoch   4 | Iter:    396/   712 | global iter:    396/   712 | loss: 2.6308 | ds_loss: 2.8751 | lr: 4.1280e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   4 | Iter:    400/   712 | global iter:    400/   712 | loss: 2.9426 | ds_loss: 3.2135 | lr: 4.0413e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   4 | Iter:    404/   712 | global iter:    404/   712 | loss: 2.7489 | ds_loss: 3.0019 | lr: 3.9550e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.351
train | epoch   4 | Iter:    408/   712 | global iter:    408/   712 | loss: 2.8891 | ds_loss: 3.1550 | lr: 3.8690e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   4 | Iter:    412/   712 | global iter:    412/   712 | loss: 2.8259 | ds_loss: 3.0877 | lr: 3.7833e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   4 | Iter:    416/   712 | global iter:    416/   712 | loss: 2.8215 | ds_loss: 3.0827 | lr: 3.6980e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   4 | Iter:    420/   712 | global iter:    420/   712 | loss: 2.8092 | ds_loss: 3.0696 | lr: 3.6131e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   4 | Iter:    424/   712 | global iter:    424/   712 | loss: 2.7633 | ds_loss: 3.0152 | lr: 3.5287e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   4 | Iter:    428/   712 | global iter:    428/   712 | loss: 2.7321 | ds_loss: 2.9849 | lr: 3.4447e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   4 | Iter:    432/   712 | global iter:    432/   712 | loss: 2.6803 | ds_loss: 2.9314 | lr: 3.3612e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   4 | Iter:    436/   712 | global iter:    436/   712 | loss: 2.6902 | ds_loss: 2.9395 | lr: 3.2782e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   4 | Iter:    440/   712 | global iter:    440/   712 | loss: 2.6985 | ds_loss: 2.9484 | lr: 3.1958e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.350
train | epoch   4 | Iter:    444/   712 | global iter:    444/   712 | loss: 2.6784 | ds_loss: 2.9234 | lr: 3.1139e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.351
dev | avg_loss: 3.05078125 | {'exact_match': 3.2, 'rougeL': 24.8319}
train | epoch   4 | Iter:    448/   712 | global iter:    448/   712 | loss: 2.6512 | ds_loss: 2.8940 | lr: 3.0326e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   5 | Iter:    452/   712 | global iter:    452/   712 | loss: 2.4933 | ds_loss: 2.7282 | lr: 2.9519e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.294
train | epoch   5 | Iter:    456/   712 | global iter:    456/   712 | loss: 2.7242 | ds_loss: 2.9793 | lr: 2.8719e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    460/   712 | global iter:    460/   712 | loss: 2.7141 | ds_loss: 2.9663 | lr: 2.7925e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    464/   712 | global iter:    464/   712 | loss: 2.5714 | ds_loss: 2.8079 | lr: 2.7138e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    468/   712 | global iter:    468/   712 | loss: 2.6012 | ds_loss: 2.8408 | lr: 2.6358e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   5 | Iter:    472/   712 | global iter:    472/   712 | loss: 2.5770 | ds_loss: 2.8149 | lr: 2.5586e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    476/   712 | global iter:    476/   712 | loss: 2.6766 | ds_loss: 2.9245 | lr: 2.4821e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.351
train | epoch   5 | Iter:    480/   712 | global iter:    480/   712 | loss: 2.5969 | ds_loss: 2.8410 | lr: 2.4064e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    484/   712 | global iter:    484/   712 | loss: 2.8186 | ds_loss: 3.0812 | lr: 2.3315e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   5 | Iter:    488/   712 | global iter:    488/   712 | loss: 2.6940 | ds_loss: 2.9437 | lr: 2.2575e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.350
train | epoch   5 | Iter:    492/   712 | global iter:    492/   712 | loss: 2.6751 | ds_loss: 2.9219 | lr: 2.1843e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   5 | Iter:    496/   712 | global iter:    496/   712 | loss: 2.6861 | ds_loss: 2.9360 | lr: 2.1120e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   5 | Iter:    500/   712 | global iter:    500/   712 | loss: 2.6515 | ds_loss: 2.8968 | lr: 2.0406e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   5 | Iter:    504/   712 | global iter:    504/   712 | loss: 2.5082 | ds_loss: 2.7415 | lr: 1.9701e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   5 | Iter:    508/   712 | global iter:    508/   712 | loss: 2.6506 | ds_loss: 2.8945 | lr: 1.9005e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   5 | Iter:    512/   712 | global iter:    512/   712 | loss: 2.6029 | ds_loss: 2.8449 | lr: 1.8319e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   5 | Iter:    516/   712 | global iter:    516/   712 | loss: 2.4726 | ds_loss: 2.7054 | lr: 1.7644e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.351
train | epoch   5 | Iter:    520/   712 | global iter:    520/   712 | loss: 2.7486 | ds_loss: 3.0036 | lr: 1.6978e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   5 | Iter:    524/   712 | global iter:    524/   712 | loss: 2.5922 | ds_loss: 2.8339 | lr: 1.6322e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   5 | Iter:    528/   712 | global iter:    528/   712 | loss: 2.6213 | ds_loss: 2.8636 | lr: 1.5677e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   5 | Iter:    532/   712 | global iter:    532/   712 | loss: 2.5924 | ds_loss: 2.8355 | lr: 1.5043e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
dev | avg_loss: 3.080078125 | {'exact_match': 2.4, 'rougeL': 24.5431}
train | epoch   5 | Iter:    536/   712 | global iter:    536/   712 | loss: 2.6691 | ds_loss: 2.9163 | lr: 1.4420e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   5 | Iter:    540/   712 | global iter:    540/   712 | loss: 2.7148 | ds_loss: 2.9650 | lr: 1.3807e-05 | scale:  2048.0000 | micro time: 0.124 | step time: 0.292
train | epoch   6 | Iter:    544/   712 | global iter:    544/   712 | loss: 2.6054 | ds_loss: 2.8485 | lr: 1.3206e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.349
train | epoch   6 | Iter:    548/   712 | global iter:    548/   712 | loss: 2.6179 | ds_loss: 2.8644 | lr: 1.2617e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   6 | Iter:    552/   712 | global iter:    552/   712 | loss: 2.5064 | ds_loss: 2.7415 | lr: 1.2039e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   6 | Iter:    556/   712 | global iter:    556/   712 | loss: 2.4701 | ds_loss: 2.7005 | lr: 1.1473e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   6 | Iter:    560/   712 | global iter:    560/   712 | loss: 2.8210 | ds_loss: 3.0830 | lr: 1.0919e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
