

============================== EXP at 2025-05-23 10:00:57 ==============================
dev | avg_loss: 3.107421875 | {'exact_match': 2.8, 'rougeL': 24.3689}
train | epoch   0 | Iter:      4/  1064 | global iter:      4/  1064 | loss: 6.5668 | ds_loss: 7.0104 | lr: 9.9997e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.394
train | epoch   0 | Iter:     72/  1064 | global iter:     72/  1064 | loss: 6.7664 | ds_loss: 7.2171 | lr: 9.8876e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:     76/  1064 | global iter:     76/  1064 | loss: 6.9422 | ds_loss: 7.4044 | lr: 9.8748e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:     80/  1064 | global iter:     80/  1064 | loss: 6.6440 | ds_loss: 7.0859 | lr: 9.8613e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.349
train | epoch   0 | Iter:     84/  1064 | global iter:     84/  1064 | loss: 6.1239 | ds_loss: 6.5346 | lr: 9.8472e-05 | scale:  2048.0000 | micro time: 0.345 | step time: 0.348
train | epoch   0 | Iter:     88/  1064 | global iter:     88/  1064 | loss: 6.6241 | ds_loss: 7.0665 | lr: 9.8323e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.348
train | epoch   0 | Iter:     92/  1064 | global iter:     92/  1064 | loss: 6.6786 | ds_loss: 7.1248 | lr: 9.8168e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.347
train | epoch   0 | Iter:     96/  1064 | global iter:     96/  1064 | loss: 6.5143 | ds_loss: 6.9523 | lr: 9.8007e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.348
train | epoch   0 | Iter:    100/  1064 | global iter:    100/  1064 | loss: 6.5730 | ds_loss: 7.0033 | lr: 9.7838e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:    104/  1064 | global iter:    104/  1064 | loss: 6.5442 | ds_loss: 6.9784 | lr: 9.7663e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   0 | Iter:    108/  1064 | global iter:    108/  1064 | loss: 6.3965 | ds_loss: 6.8265 | lr: 9.7482e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   0 | Iter:    112/  1064 | global iter:    112/  1064 | loss: 6.7754 | ds_loss: 7.2150 | lr: 9.7294e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   0 | Iter:    116/  1064 | global iter:    116/  1064 | loss: 6.6163 | ds_loss: 7.0625 | lr: 9.7099e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   0 | Iter:    120/  1064 | global iter:    120/  1064 | loss: 6.2837 | ds_loss: 6.7086 | lr: 9.6897e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.352
train | epoch   0 | Iter:    124/  1064 | global iter:    124/  1064 | loss: 6.5705 | ds_loss: 7.0003 | lr: 9.6689e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.352
train | epoch   0 | Iter:    128/  1064 | global iter:    128/  1064 | loss: 6.4444 | ds_loss: 6.8807 | lr: 9.6475e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   0 | Iter:    132/  1064 | global iter:    132/  1064 | loss: 6.6141 | ds_loss: 7.0516 | lr: 9.6254e-05 | scale:  2048.0000 | micro time: 0.354 | step time: 0.351
dev | avg_loss: 3.2978515625 | {'exact_match': 2.8, 'rougeL': 25.1782}
train | epoch   1 | Iter:    136/  1064 | global iter:    136/  1064 | loss: 6.4563 | ds_loss: 6.8870 | lr: 9.6027e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.342
train | epoch   1 | Iter:    140/  1064 | global iter:    140/  1064 | loss: 5.9575 | ds_loss: 6.3621 | lr: 9.5793e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.351
train | epoch   1 | Iter:    144/  1064 | global iter:    144/  1064 | loss: 6.2540 | ds_loss: 6.6734 | lr: 9.5553e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    148/  1064 | global iter:    148/  1064 | loss: 6.0659 | ds_loss: 6.4803 | lr: 9.5306e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    152/  1064 | global iter:    152/  1064 | loss: 6.4112 | ds_loss: 6.8444 | lr: 9.5053e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   1 | Iter:    156/  1064 | global iter:    156/  1064 | loss: 6.3976 | ds_loss: 6.8292 | lr: 9.4794e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   1 | Iter:    160/  1064 | global iter:    160/  1064 | loss: 5.8238 | ds_loss: 6.2176 | lr: 9.4529e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.351
train | epoch   1 | Iter:    164/  1064 | global iter:    164/  1064 | loss: 6.0909 | ds_loss: 6.5014 | lr: 9.4257e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.348
train | epoch   1 | Iter:    168/  1064 | global iter:    168/  1064 | loss: 6.3933 | ds_loss: 6.8233 | lr: 9.3980e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    172/  1064 | global iter:    172/  1064 | loss: 6.1928 | ds_loss: 6.6147 | lr: 9.3696e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   1 | Iter:    176/  1064 | global iter:    176/  1064 | loss: 6.1549 | ds_loss: 6.5677 | lr: 9.3406e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    180/  1064 | global iter:    180/  1064 | loss: 5.9973 | ds_loss: 6.4039 | lr: 9.3110e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    184/  1064 | global iter:    184/  1064 | loss: 6.2921 | ds_loss: 6.7139 | lr: 9.2808e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    188/  1064 | global iter:    188/  1064 | loss: 6.5158 | ds_loss: 6.9559 | lr: 9.2500e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    192/  1064 | global iter:    192/  1064 | loss: 5.9801 | ds_loss: 6.3826 | lr: 9.2186e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   1 | Iter:    196/  1064 | global iter:    196/  1064 | loss: 6.0148 | ds_loss: 6.4176 | lr: 9.1866e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    200/  1064 | global iter:    200/  1064 | loss: 6.0462 | ds_loss: 6.4528 | lr: 9.1541e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    204/  1064 | global iter:    204/  1064 | loss: 6.5581 | ds_loss: 6.9966 | lr: 9.1210e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   1 | Iter:    208/  1064 | global iter:    208/  1064 | loss: 6.2844 | ds_loss: 6.7116 | lr: 9.0872e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    212/  1064 | global iter:    212/  1064 | loss: 6.0929 | ds_loss: 6.5067 | lr: 9.0530e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   1 | Iter:    216/  1064 | global iter:    216/  1064 | loss: 6.0978 | ds_loss: 6.5063 | lr: 9.0181e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    220/  1064 | global iter:    220/  1064 | loss: 6.3223 | ds_loss: 6.7480 | lr: 8.9827e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.351
train | epoch   1 | Iter:    224/  1064 | global iter:    224/  1064 | loss: 6.1788 | ds_loss: 6.5960 | lr: 8.9468e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    228/  1064 | global iter:    228/  1064 | loss: 6.5573 | ds_loss: 6.9981 | lr: 8.9102e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.354
train | epoch   1 | Iter:    232/  1064 | global iter:    232/  1064 | loss: 5.8445 | ds_loss: 6.2410 | lr: 8.8732e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.352
train | epoch   1 | Iter:    236/  1064 | global iter:    236/  1064 | loss: 5.9084 | ds_loss: 6.3050 | lr: 8.8356e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.353
train | epoch   1 | Iter:    240/  1064 | global iter:    240/  1064 | loss: 6.3625 | ds_loss: 6.7913 | lr: 8.7975e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    244/  1064 | global iter:    244/  1064 | loss: 6.2503 | ds_loss: 6.6745 | lr: 8.7588e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   1 | Iter:    248/  1064 | global iter:    248/  1064 | loss: 6.3392 | ds_loss: 6.7625 | lr: 8.7196e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    252/  1064 | global iter:    252/  1064 | loss: 6.3783 | ds_loss: 6.8077 | lr: 8.6799e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   1 | Iter:    256/  1064 | global iter:    256/  1064 | loss: 6.2921 | ds_loss: 6.7161 | lr: 8.6397e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.349
train | epoch   1 | Iter:    260/  1064 | global iter:    260/  1064 | loss: 6.3113 | ds_loss: 6.7350 | lr: 8.5990e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   1 | Iter:    264/  1064 | global iter:    264/  1064 | loss: 6.0251 | ds_loss: 6.4295 | lr: 8.5578e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
dev | avg_loss: 3.3203125 | {'exact_match': 3.0, 'rougeL': 25.7185}
train | epoch   1 | Iter:    268/  1064 | global iter:    268/  1064 | loss: 6.0411 | ds_loss: 6.4487 | lr: 8.5161e-05 | scale:  2048.0000 | micro time: 0.326 | step time: 0.342
train | epoch   2 | Iter:    272/  1064 | global iter:    272/  1064 | loss: 5.8988 | ds_loss: 6.2956 | lr: 8.4739e-05 | scale:  2048.0000 | micro time: 0.356 | step time: 0.351
train | epoch   2 | Iter:    276/  1064 | global iter:    276/  1064 | loss: 5.6133 | ds_loss: 5.9995 | lr: 8.4312e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    280/  1064 | global iter:    280/  1064 | loss: 5.5143 | ds_loss: 5.8943 | lr: 8.3880e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   2 | Iter:    284/  1064 | global iter:    284/  1064 | loss: 6.1111 | ds_loss: 6.5281 | lr: 8.3444e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.349
train | epoch   2 | Iter:    288/  1064 | global iter:    288/  1064 | loss: 5.8024 | ds_loss: 6.2012 | lr: 8.3003e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   2 | Iter:    292/  1064 | global iter:    292/  1064 | loss: 5.7056 | ds_loss: 6.0936 | lr: 8.2557e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.349
train | epoch   2 | Iter:    296/  1064 | global iter:    296/  1064 | loss: 5.9625 | ds_loss: 6.3677 | lr: 8.2107e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    300/  1064 | global iter:    300/  1064 | loss: 6.0408 | ds_loss: 6.4558 | lr: 8.1652e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    304/  1064 | global iter:    304/  1064 | loss: 6.1684 | ds_loss: 6.5822 | lr: 8.1193e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   2 | Iter:    308/  1064 | global iter:    308/  1064 | loss: 5.5834 | ds_loss: 5.9638 | lr: 8.0730e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.348
train | epoch   2 | Iter:    312/  1064 | global iter:    312/  1064 | loss: 5.9857 | ds_loss: 6.3929 | lr: 8.0262e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   2 | Iter:    316/  1064 | global iter:    316/  1064 | loss: 5.8385 | ds_loss: 6.2404 | lr: 7.9790e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    320/  1064 | global iter:    320/  1064 | loss: 6.0405 | ds_loss: 6.4521 | lr: 7.9314e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   2 | Iter:    324/  1064 | global iter:    324/  1064 | loss: 5.8141 | ds_loss: 6.2112 | lr: 7.8834e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   2 | Iter:    328/  1064 | global iter:    328/  1064 | loss: 5.6554 | ds_loss: 6.0429 | lr: 7.8350e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   2 | Iter:    332/  1064 | global iter:    332/  1064 | loss: 6.2360 | ds_loss: 6.6590 | lr: 7.7862e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
train | epoch   2 | Iter:    336/  1064 | global iter:    336/  1064 | loss: 5.8552 | ds_loss: 6.2539 | lr: 7.7370e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    340/  1064 | global iter:    340/  1064 | loss: 5.5424 | ds_loss: 5.9191 | lr: 7.6874e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.349
train | epoch   2 | Iter:    344/  1064 | global iter:    344/  1064 | loss: 5.9929 | ds_loss: 6.3988 | lr: 7.6375e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.348
train | epoch   2 | Iter:    348/  1064 | global iter:    348/  1064 | loss: 6.2059 | ds_loss: 6.6278 | lr: 7.5872e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   2 | Iter:    352/  1064 | global iter:    352/  1064 | loss: 5.8413 | ds_loss: 6.2401 | lr: 7.5365e-05 | scale:  2048.0000 | micro time: 0.346 | step time: 0.348
train | epoch   2 | Iter:    356/  1064 | global iter:    356/  1064 | loss: 6.2209 | ds_loss: 6.6357 | lr: 7.4855e-05 | scale:  2048.0000 | micro time: 0.347 | step time: 0.349
train | epoch   2 | Iter:    360/  1064 | global iter:    360/  1064 | loss: 5.6789 | ds_loss: 6.0680 | lr: 7.4341e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   2 | Iter:    364/  1064 | global iter:    364/  1064 | loss: 5.9207 | ds_loss: 6.3235 | lr: 7.3824e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.349
train | epoch   2 | Iter:    368/  1064 | global iter:    368/  1064 | loss: 6.0401 | ds_loss: 6.4487 | lr: 7.3303e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    372/  1064 | global iter:    372/  1064 | loss: 5.7526 | ds_loss: 6.1477 | lr: 7.2779e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   2 | Iter:    376/  1064 | global iter:    376/  1064 | loss: 5.7868 | ds_loss: 6.1832 | lr: 7.2252e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    380/  1064 | global iter:    380/  1064 | loss: 5.9950 | ds_loss: 6.4010 | lr: 7.1722e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   2 | Iter:    384/  1064 | global iter:    384/  1064 | loss: 6.1404 | ds_loss: 6.5604 | lr: 7.1189e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   2 | Iter:    388/  1064 | global iter:    388/  1064 | loss: 6.1644 | ds_loss: 6.5800 | lr: 7.0654e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   2 | Iter:    392/  1064 | global iter:    392/  1064 | loss: 5.7853 | ds_loss: 6.1767 | lr: 7.0115e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   2 | Iter:    396/  1064 | global iter:    396/  1064 | loss: 5.6928 | ds_loss: 6.0790 | lr: 6.9573e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
dev | avg_loss: 3.3935546875 | {'exact_match': 3.2, 'rougeL': 26.3868}
train | epoch   2 | Iter:    400/  1064 | global iter:    400/  1064 | loss: 6.1450 | ds_loss: 6.5634 | lr: 6.9029e-05 | scale:  2048.0000 | micro time: 0.345 | step time: 0.348
train | epoch   3 | Iter:    404/  1064 | global iter:    404/  1064 | loss: 5.9252 | ds_loss: 6.3288 | lr: 6.8482e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.350
train | epoch   3 | Iter:    408/  1064 | global iter:    408/  1064 | loss: 5.6718 | ds_loss: 6.0648 | lr: 6.7932e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   3 | Iter:    412/  1064 | global iter:    412/  1064 | loss: 5.4691 | ds_loss: 5.8401 | lr: 6.7380e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   3 | Iter:    416/  1064 | global iter:    416/  1064 | loss: 5.3323 | ds_loss: 5.7023 | lr: 6.6826e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   3 | Iter:    420/  1064 | global iter:    420/  1064 | loss: 5.6963 | ds_loss: 6.0850 | lr: 6.6269e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   3 | Iter:    424/  1064 | global iter:    424/  1064 | loss: 5.3790 | ds_loss: 5.7500 | lr: 6.5710e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   3 | Iter:    428/  1064 | global iter:    428/  1064 | loss: 5.5573 | ds_loss: 5.9438 | lr: 6.5148e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    432/  1064 | global iter:    432/  1064 | loss: 5.7921 | ds_loss: 6.1925 | lr: 6.4585e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    436/  1064 | global iter:    436/  1064 | loss: 5.8907 | ds_loss: 6.2988 | lr: 6.4020e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    440/  1064 | global iter:    440/  1064 | loss: 5.4646 | ds_loss: 5.8435 | lr: 6.3452e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    444/  1064 | global iter:    444/  1064 | loss: 5.7391 | ds_loss: 6.1335 | lr: 6.2883e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    448/  1064 | global iter:    448/  1064 | loss: 5.5484 | ds_loss: 5.9325 | lr: 6.2312e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    452/  1064 | global iter:    452/  1064 | loss: 5.6639 | ds_loss: 6.0529 | lr: 6.1739e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   3 | Iter:    456/  1064 | global iter:    456/  1064 | loss: 5.7339 | ds_loss: 6.1258 | lr: 6.1165e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    460/  1064 | global iter:    460/  1064 | loss: 5.7277 | ds_loss: 6.1192 | lr: 6.0589e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.349
train | epoch   3 | Iter:    464/  1064 | global iter:    464/  1064 | loss: 5.8855 | ds_loss: 6.2902 | lr: 6.0012e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    468/  1064 | global iter:    468/  1064 | loss: 5.9716 | ds_loss: 6.3792 | lr: 5.9433e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.350
train | epoch   3 | Iter:    472/  1064 | global iter:    472/  1064 | loss: 5.8409 | ds_loss: 6.2441 | lr: 5.8853e-05 | scale:  2048.0000 | micro time: 0.352 | step time: 0.351
train | epoch   3 | Iter:    476/  1064 | global iter:    476/  1064 | loss: 5.7589 | ds_loss: 6.1515 | lr: 5.8271e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    480/  1064 | global iter:    480/  1064 | loss: 5.7222 | ds_loss: 6.1108 | lr: 5.7689e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.349
train | epoch   3 | Iter:    484/  1064 | global iter:    484/  1064 | loss: 5.6886 | ds_loss: 6.0774 | lr: 5.7106e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    488/  1064 | global iter:    488/  1064 | loss: 6.0188 | ds_loss: 6.4294 | lr: 5.6521e-05 | scale:  2048.0000 | micro time: 0.351 | step time: 0.351
train | epoch   3 | Iter:    492/  1064 | global iter:    492/  1064 | loss: 5.4467 | ds_loss: 5.8206 | lr: 5.5936e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    496/  1064 | global iter:    496/  1064 | loss: 5.5139 | ds_loss: 5.8936 | lr: 5.5349e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    500/  1064 | global iter:    500/  1064 | loss: 5.7028 | ds_loss: 6.0958 | lr: 5.4762e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    504/  1064 | global iter:    504/  1064 | loss: 5.6915 | ds_loss: 6.0791 | lr: 5.4175e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.351
train | epoch   3 | Iter:    508/  1064 | global iter:    508/  1064 | loss: 5.3511 | ds_loss: 5.7221 | lr: 5.3587e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    512/  1064 | global iter:    512/  1064 | loss: 5.3818 | ds_loss: 5.7540 | lr: 5.2998e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.350
train | epoch   3 | Iter:    516/  1064 | global iter:    516/  1064 | loss: 5.6823 | ds_loss: 6.0728 | lr: 5.2409e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    520/  1064 | global iter:    520/  1064 | loss: 5.9571 | ds_loss: 6.3640 | lr: 5.1819e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
train | epoch   3 | Iter:    524/  1064 | global iter:    524/  1064 | loss: 5.6258 | ds_loss: 6.0161 | lr: 5.1230e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.350
train | epoch   3 | Iter:    528/  1064 | global iter:    528/  1064 | loss: 5.9706 | ds_loss: 6.3783 | lr: 5.0640e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   3 | Iter:    532/  1064 | global iter:    532/  1064 | loss: 5.5966 | ds_loss: 5.9815 | lr: 5.0050e-05 | scale:  2048.0000 | micro time: 0.350 | step time: 0.350
dev | avg_loss: 3.4638671875 | {'exact_match': 3.8, 'rougeL': 26.6633}
train | epoch   3 | Iter:    536/  1064 | global iter:    536/  1064 | loss: 5.9544 | ds_loss: 6.3601 | lr: 4.9460e-05 | scale:  2048.0000 | micro time: 0.327 | step time: 0.343
train | epoch   4 | Iter:    540/  1064 | global iter:    540/  1064 | loss: 5.7578 | ds_loss: 6.1573 | lr: 4.8870e-05 | scale:  2048.0000 | micro time: 0.353 | step time: 0.362
train | epoch   4 | Iter:    544/  1064 | global iter:    544/  1064 | loss: 5.5055 | ds_loss: 5.8859 | lr: 4.8281e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.348
train | epoch   4 | Iter:    548/  1064 | global iter:    548/  1064 | loss: 5.6763 | ds_loss: 6.0722 | lr: 4.7691e-05 | scale:  2048.0000 | micro time: 0.349 | step time: 0.349
train | epoch   4 | Iter:    552/  1064 | global iter:    552/  1064 | loss: 5.3614 | ds_loss: 5.7346 | lr: 4.7102e-05 | scale:  2048.0000 | micro time: 0.348 | step time: 0.348
